street_id,street_name,hour,footfall,lighting_status,liquor_distance,crime_score,safety_score,zone
CHN-029,Poonamallee High Road,23,73,0,225,0.714,53.5,CAUTION
CHN-029,Poonamallee High Road,0,3,0,253,0.766,42.2,CAUTION
CHN-030,Arcot Road Vadapalani,20,69,0,828,0.258,75.7,SAFE
CHN-030,Arcot Road Vadapalani,21,64,0,749,0.289,73.4,SAFE
CHN-030,Arcot Road Vadapalani,22,36,0,455,0.282,57.5,CAUTION
CHN-030,Arcot Road Vadapalani,23,26,0,531,0.383,58.1,CAUTION
CHN-030,Arcot Road Vadapalani,0,4,0,670,0.409,57.4,CAUTION
CHN-031,Kodambakkam High Road,20,177,0,378,0.038,77.2,SAFE
CHN-031,Kodambakkam High Road,21,110,0,297,0.077,69.6,CAUTION
CHN-031,Kodambakkam High Road,22,83,0,161,0.13,61.2,CAUTION
CHN-031,Kodambakkam High Road,23,28,0,229,0.246,54.9,CAUTION
CHN-031,Kodambakkam High Road,0,0,0,272,0.252,47.3,CAUTION
CHN-032,Ashok Nagar 3rd Ave,20,188,0,525,0.247,78.4,SAFE
CHN-032,Ashok Nagar 3rd Ave,21,151,0,435,0.268,73.4,SAFE
CHN-032,Ashok Nagar 3rd Ave,22,141,0,191,0.365,62.9,CAUTION
CHN-032,Ashok Nagar 3rd Ave,23,9,0,292,0.409,49.6,CAUTION
CHN-032,Ashok Nagar 3rd Ave,0,19,0,476,0.508,55.7,CAUTION
CHN-033,Porur Main Road,20,240,1,773,0.447,54.7,CAUTION
CHN-033,Porur Main Road,21,228,0,671,0.388,82.4,SAFE
CHN-033,Porur Main Road,22,148,0,374,0.42,65.1,CAUTION
CHN-033,Porur Main Road,23,78,0,508,0.522,62.2,CAUTION
CHN-033,Porur Main Road,0,72,0,570,0.505,65.1,CAUTION
CHN-034,Guindy Industrial Estate Rd,20,270,0,85,0.745,64.7,CAUTION
CHN-034,Guindy Industrial Estate Rd,21,204,0,83,0.783,60.3,CAUTION
CHN-034,Guindy Industrial Estate Rd,22,168,1,41,0.924,24.4,DANGER
CHN-034,Guindy Industrial Estate Rd,23,43,0,58,0.883,44.3,CAUTION
CHN-034,Guindy Industrial Estate Rd,0,63,0,71,1.0,45.5,CAUTION
CHN-035,Perambur High Road,20,143,0,809,0.709,75.3,SAFE
CHN-035,Perambur High Road,21,105,0,726,0.749,69.8,CAUTION
CHN-035,Perambur High Road,22,78,0,322,0.79,53.0,CAUTION
CHN-035,Perambur High Road,23,42,0,509,0.885,52.6,CAUTION
CHN-035,Perambur High Road,0,14,0,622,0.873,52.4,CAUTION
CHN-036,Broadway,20,294,0,501,0.656,77.7,SAFE
CHN-036,Broadway,21,218,0,477,0.633,73.3,SAFE
CHN-036,Broadway,22,139,0,252,0.706,58.5,CAUTION
CHN-036,Broadway,23,99,1,368,0.844,26.7,DANGER
CHN-036,Broadway,0,42,1,413,0.927,21.7,DANGER
CHN-037,NSC Bose Road,20,114,0,623,0.708,68.6,CAUTION
CHN-037,NSC Bose Road,21,86,0,592,0.725,65.2,CAUTION
CHN-037,NSC Bose Road,22,56,0,289,0.792,50.2,CAUTION
CHN-037,NSC Bose Road,23,32,1,514,0.907,20.9,DANGER
CHN-037,NSC Bose Road,0,21,0,577,0.898,52.5,CAUTION
CHN-038,Rajaji Salai,20,212,0,428,0.441,74.6,SAFE
CHN-038,Rajaji Salai,21,149,0,424,0.414,70.8,SAFE
CHN-038,Rajaji Salai,22,161,0,206,0.513,62.3,CAUTION
CHN-038,Rajaji Salai,23,32,1,353,0.712,20.8,DANGER
CHN-038,Rajaji Salai,0,10,1,366,0.718,18.0,DANGER
CHN-039,Kamarajar Salai,20,98,0,96,0.665,54.7,CAUTION
CHN-039,Kamarajar Salai,21,82,0,87,0.71,52.4,CAUTION
CHN-039,Kamarajar Salai,22,53,0,49,0.75,47.2,CAUTION
CHN-039,Kamarajar Salai,23,21,0,63,0.754,42.9,CAUTION
CHN-039,Kamarajar Salai,0,0,0,85,0.768,35.4,DANGER
CHN-040,Marina Beach Road,20,293,0,353,0.304,79.2,SAFE
CHN-040,Marina Beach Road,21,222,0,316,0.305,74.4,SAFE
CHN-040,Marina Beach Road,22,121,0,152,0.349,61.1,CAUTION
CHN-040,Marina Beach Road,23,69,0,265,0.382,58.8,CAUTION
CHN-040,Marina Beach Road,0,41,0,301,0.455,56.2,CAUTION
CHN-041,Santhome High Road,20,91,1,581,0.855,33.4,DANGER
CHN-041,Santhome High Road,21,67,0,475,0.761,59.8,CAUTION
CHN-041,Santhome High Road,22,49,0,307,0.807,49.4,CAUTION
CHN-041,Santhome High Road,23,17,0,396,0.944,45.5,CAUTION
CHN-041,Santhome High Road,0,3,0,481,0.905,45.3,CAUTION
CHN-042,Foreshore Estate Rd,20,212,0,617,0.051,85.1,SAFE
CHN-042,Foreshore Estate Rd,21,209,0,517,0.058,82.4,SAFE
CHN-042,Foreshore Estate Rd,22,160,0,295,0.177,68.5,CAUTION
CHN-042,Foreshore Estate Rd,23,73,0,425,0.201,64.9,CAUTION
CHN-042,Foreshore Estate Rd,0,0,1,573,0.288,23.6,DANGER
CHN-043,RA Puram 1st Main Road,20,343,0,451,0.027,88.3,SAFE
CHN-043,RA Puram 1st Main Road,21,266,0,390,0.098,81.8,SAFE
CHN-043,RA Puram 1st Main Road,22,245,0,231,0.133,73.6,SAFE
CHN-043,RA Puram 1st Main Road,23,103,1,313,0.337,33.6,DANGER
CHN-043,RA Puram 1st Main Road,0,102,0,373,0.264,67.1,CAUTION
CHN-044,Besant Nagar 5th Avenue,20,149,0,575,0.684,70.5,SAFE
CHN-044,Besant Nagar 5th Avenue,21,103,0,531,0.774,64.4,CAUTION
CHN-044,Besant Nagar 5th Avenue,22,64,0,282,0.832,50.4,CAUTION
CHN-044,Besant Nagar 5th Avenue,23,32,0,342,0.889,48.0,CAUTION
CHN-044,Besant Nagar 5th Avenue,0,33,0,442,0.925,51.1,CAUTION
CHN-045,Thiruvanmiyur Bank Colony,20,218,0,101,0.854,60.6,CAUTION
CHN-045,Thiruvanmiyur Bank Colony,21,174,0,91,0.884,57.1,CAUTION
CHN-045,Thiruvanmiyur Bank Colony,22,111,0,47,0.966,49.6,CAUTION
CHN-045,Thiruvanmiyur Bank Colony,23,68,0,77,0.944,46.7,CAUTION
CHN-045,Thiruvanmiyur Bank Colony,0,32,1,84,1.0,11.8,DANGER
CHN-046,Palavakkam Main Road,20,105,0,849,0.411,76.8,SAFE
CHN-046,Palavakkam Main Road,21,78,0,807,0.444,73.8,SAFE
CHN-046,Palavakkam Main Road,22,55,0,366,0.464,56.1,CAUTION
CHN-046,Palavakkam Main Road,23,45,0,518,0.545,58.3,CAUTION
CHN-046,Palavakkam Main Road,0,16,0,704,0.58,59.1,CAUTION
CHN-047,Neelankarai Main Road,20,135,1,714,0.67,43.1,CAUTION
CHN-047,Neelankarai Main Road,21,110,0,782,0.643,73.3,SAFE
CHN-047,Neelankarai Main Road,22,90,1,362,0.748,25.4,DANGER
CHN-047,Neelankarai Main Road,23,25,0,519,0.698,53.0,CAUTION
CHN-047,Neelankarai Main Road,0,19,0,720,0.765,57.4,CAUTION
CHN-048,Injambakkam Coast Road,20,195,0,630,0.419,78.9,SAFE
CHN-048,Injambakkam Coast Road,21,172,0,586,0.434,76.1,SAFE
CHN-048,Injambakkam Coast Road,22,61,0,247,0.538,54.0,CAUTION
CHN-048,Injambakkam Coast Road,23,105,1,400,0.638,30.9,DANGER
CHN-048,Injambakkam Coast Road,0,19,0,534,0.578,56.0,CAUTION
CHN-049,Anna Nagar 2nd Avenue,20,161,0,684,0.106,82.7,SAFE
CHN-049,Anna Nagar 2nd Avenue,21,93,0,631,0.187,74.8,SAFE
CHN-049,Anna Nagar 2nd Avenue,22,104,0,392,0.233,64.7,CAUTION
CHN-049,Anna Nagar 2nd Avenue,23,31,0,525,0.262,60.7,CAUTION
CHN-049,Anna Nagar 2nd Avenue,0,10,0,561,0.343,58.0,CAUTION
CHN-050,Anna Nagar Tower Park Road,20,159,0,545,0.176,78.1,SAFE
CHN-050,Anna Nagar Tower Park Road,21,135,0,483,0.242,73.8,SAFE
CHN-050,Anna Nagar Tower Park Road,22,100,0,295,0.214,63.3,CAUTION
CHN-050,Anna Nagar Tower Park Road,23,37,0,449,0.261,60.1,CAUTION
CHN-050,Anna Nagar Tower Park Road,0,35,0,518,0.344,61.8,CAUTION
CHN-051,Mogappair Main Road,20,135,0,762,0.139,82.3,SAFE
CHN-051,Mogappair Main Road,21,104,0,695,0.162,77.8,SAFE
CHN-051,Mogappair Main Road,22,66,0,405,0.219,61.5,CAUTION
CHN-051,Mogappair Main Road,23,21,0,530,0.254,59.1,CAUTION
CHN-051,Mogappair Main Road,0,16,0,655,0.264,62.8,CAUTION
CHN-052,Ambattur OT Road,20,200,0,703,0.096,85.9,SAFE
CHN-052,Ambattur OT Road,21,152,0,652,0.103,81.3,SAFE
CHN-052,Ambattur OT Road,22,115,0,291,0.243,64.1,CAUTION
CHN-052,Ambattur OT Road,23,47,0,469,0.242,62.2,CAUTION
CHN-052,Ambattur OT Road,0,45,0,548,0.346,63.9,CAUTION
CHN-053,Avadi Main Road,20,88,0,744,0.754,68.7,CAUTION
CHN-053,Avadi Main Road,21,78,0,605,0.827,63.2,CAUTION
CHN-053,Avadi Main Road,22,52,0,404,0.877,50.0,CAUTION
CHN-053,Avadi Main Road,23,28,1,513,0.987,19.1,DANGER
CHN-053,Avadi Main Road,0,16,0,611,1.0,50.7,CAUTION
CHN-054,Kolathur High Road,20,255,0,552,0.733,75.8,SAFE
CHN-054,Kolathur High Road,21,164,0,467,0.693,68.7,CAUTION
CHN-054,Kolathur High Road,22,103,0,247,0.715,55.4,CAUTION
CHN-054,Kolathur High Road,23,77,0,357,0.864,54.1,CAUTION
CHN-054,Kolathur High Road,0,24,0,443,0.83,51.1,CAUTION
CHN-055,Tondiarpet High Road,20,312,0,588,0.092,89.2,SAFE
CHN-055,Tondiarpet High Road,21,230,0,608,0.128,84.8,SAFE
CHN-055,Tondiarpet High Road,22,125,0,259,0.135,66.1,CAUTION
CHN-055,Tondiarpet High Road,23,69,0,499,0.203,65.8,CAUTION
CHN-055,Tondiarpet High Road,0,51,0,521,0.327,64.3,CAUTION
